OBJECTID;ID;NOM_PARC;ADRESS_SSC;ADRESS_GEO;ACCES_VL;Arrdt;DELEG;SITE_DELEG;TEL;H_PARC_CM;H2_PARC_CM;TYPE_PARC;HORAIRE_NA;ASC_SURF;ACCES_MOTO;ACCES_VELO;V_ELEC_CH;AUTOPART;DATE_TA;AB_1M_E;AB_1A_E;TARIF_PR;PR_1A_MINE;PR_1A_MAXE;TARIF_RES;TF_RES_1AE;DATE_TH;TF_15MN_E;TF_30MN_E;TF_1H_E;TF_1H30_E;TF_2H_E;TF_3H_E;TF_4H_E;TF_7H_E;TF_8H_E;TF_9H_E;TF_10H_E;TF_11H_E;TF_12H_E;TF_24H_E;NB_PL_PMR;ABPMR_1M_E;ABPMR_1T_E;ABPMR_1A_E;MIS_A_JOUR;ABVE_1M_E;ABVE_1T_E;ABVE_1A_E;NB_PL_MOTO;TMOTO_1EHE;ABMOTO_1ME;ABMOTO_1TE;ABMOTO_1AE;TVELO_1M_E;POINT_X;POINT_Y;ZONES_RES;TF_15MN_MO;TF_30MN_MO;TF_24H_MOT;TF_PR_MOTO;PR_1A_MINM;PR_1A_MAXM;TF_RES_MO;TF_RES_1AM;AB_1A_PATT;PARC_AMOD;geo_shape;geo_point_2d
54;79;PEREIRE;211 BOULEVARD PÉREIRE;211 BOULEVARD PEREIRE;E1;17;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;NON;OUI;NON;NON;NON;42552;ND;1910;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;21;ND;ND;339;1256;ND;647948.9895;6864779.991;ND;ND;ND;ND;NON;ND;ND;NON;ND;3141;NON;"{""type"": ""Point"", ""coordinates"": [2.290263386103299, 48.88093333954066]}";48.8809333395, 2.2902633861
100;70;GAY LUSSAC;45 TER RUE GAY-LUSSAC;45 TER RUE GAY LUSSAC;E1;5;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;195;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;42186;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;6;ND;ND;231;ND;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;1600;NON;"{""type"": ""Point"", ""coordinates"": [2.343445845791666, 48.84183318408147]}";48.8418331841, 2.34344584579
61;38;PORTE DE CLIGNANCOURT;20 AVENUE DE LA PORTE DE CLIGNANCOURT;20 AVENUE DE LA PORTE DE CLIGNANCOURT;E1;18;SAGS;WWW.SAGS.FR;01 42 64 03 82;190;230;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;43132;106;1060;OUI;422,5;845;NON;ND;43132;0,8;1,6;3,2;4,8;6,4;9,6;12,8;22,4;24;24;24;24;24;24;11;53;148,5;530;2018-02-01;53;148,5;530;33;1,1;37;103;370;10;651950.991;6866858.04;18E 18F 18G 18H 18J 18K 18L 18M 18N 18P 18R 18S 18T;0,25;0,5;8,4;OUI;147,5;295;NON;ND;1325;NON;"{""type"": ""Point"", ""coordinates"": [2.344594506515061, 48.89993149976069]}";48.8999314998, 2.34459450652
71;173;TERNES;4, 38 ET 61 AVENUE DES TERNES;61 AVENUE DES TERNES;E2;17;SPIE AUTOCITE;WWW.AUTOCITE.FR;01 45 72 17 61;185;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;OUI;NON;42885;235;2350;OUI;1025;1709;NON;ND;43101;1,05;2,1;4,2;6,3;8,4;12,6;16,8;29,4;33,6;37,8;37,8;37,8;37,8;37,8;22;117,5;329;1175;2018-02-01;117,5;329;1175;100;1,45;82,25;230,3;822,5;10;648042.7582;6864573.004;8F 8G 16E 16F 16G 17E 17F 17G 17H 17J 17L 17M 17N;0,4;0,75;13,05;OUI;358,5;598;NON;ND;2937,5;NON;"{""type"": ""Point"", ""coordinates"": [2.291567212340507, 48.879079556256094]}";48.8790795563, 2.29156721234
158;29;BASTILLE;29 BOULEVARD DE LA BASTILLE;29 BOULEVARD DE LA BASTILLE;E1;12;INDIGO;WWW.PARKINDIGO.FR;01 43 46 74 14;190;;VISITEURS ET ABONNES;24h / 24;OUI, MAIS TRAVAUX D'ACCESSIBILITE AUX HANDICAPES A REALISER;OUI;OUI;NON;NON;42583;194;2016;NON;ND;ND;OUI;1412;42583;1;2;4;6;8;12;16;28;32;36;36;36;36;36;7;97;276;1008;2018-02-01;97;276;1008;20;1,2;68;194;706;10,2;;;5F 5G 34F 11G 11H 11K 12E;0,3;0,6;10,8;NON;ND;ND;OUI;493,9;2647;NON;"{""type"": ""Point"", ""coordinates"": [2.368174493103187, 48.84947984785971]}";48.8494798479, 2.3681744931
164;101;MEDITERRANEE;24 ET 40 RUE DE CHÂLON;40 RUE DE CHALON;E1;12;SAEMES;WWW.SAEMES.FR;01 43 07 48 58;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;OUI;NON;42917;294;2940;NON;ND;ND;NON;ND;42552;1,15;2,3;4,6;6,9;9,2;13,8;17,8;29,8;33,8;37,8;37,8;37,8;37,8;37,8;62;147;418,5;1470;2018-02-01;147;418,5;1470;146;1,6;102,9;292,9;1029;15;;;ND;0,4;0,8;13,2;NON;ND;ND;OUI;930;3675;NON;"{""type"": ""Point"", ""coordinates"": [2.375775850241372, 48.844889268372924]}";48.8448892684, 2.37577585024
66;65;PRONY;37 RUE DE PRONY;37 RUE DE PRONY;E1;17;INDIGO;WWW.PARKINDIGO.FR;01 43 80 73 81;190;;ABONNES;POUR ABONNES;NON;NON;NON;NON;NON;ND;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;0;ND;ND;ND;ND;ND;649093.5449;6864832.802;ND;ND;ND;ND;NON;ND;ND;NON;ND;ND;OUI;"{""type"": ""Point"", ""coordinates"": [2.305862719552195, 48.88149975076604]}";48.8814997508, 2.30586271955
157;126;RECOLLETS;3 PASSAGE DES RÉCOLLETS;3 PASSAGE DES RECOLLETS;E1;10;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;OUI;OUI;NON;NON;OUI;42917;168;1747;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;0;ND;ND;ND;2018-02-01;ND;ND;ND;9;ND;84;231;874;ND;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;3360;NON;"{""type"": ""Point"", ""coordinates"": [2.359111673239866, 48.87422094015093]}";48.8742209402, 2.35911167324
162;115;HECTOR MALOT;61 TER AVENUE DAUMESNIL;61 TER AVENUE DAUMESNIL;E1;12;SAEMES;WWW.SAEMES.FR;01 44 82 99 99;200;;ABONNES;POUR ABONNES;OUI;OUI;OUI;NON;NON;42917;ND;ND;NON;ND;ND;NON;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;6;ND;ND;ND;2018-02-01;ND;ND;ND;36;ND;73;189;722;15;;;ND;ND;ND;ND;NON;ND;ND;NON;ND;1805;NON;"{""type"": ""Point"", ""coordinates"": [2.376361039976028, 48.84699943416987]}";48.8469994342, 2.37636103998
11;152;CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE);29 QUAI D'AUSTERLITZ;29 QUAI D AUSTERLITZ;E1;13;INDIGO;WWW.PARKINDIGO.FR;01 44 24 20 13;190;;VISITEURS ET ABONNES;24h / 24;OUI;OUI;OUI;NON;NON;42614;235;2350;OUI;1410;1880;NON;ND;42614;0,9;1,8;3,6;5,4;7,2;10,8;14,4;25,2;28,8;32,4;32,4;32,4;32,4;32,4;18;118;329;1175;2018-02-01;118;329;1175;0;1,2;82;230;823;10;653854.0258;6860095.55;5F 12E 12F 13J 13K 13L 13M 13N 13P 13R 13S;0,3;0,6;10,8;OUI;493,5;658;NON;ND;2938;NON;"{""type"": ""Point"", ""coordinates"": [2.371285892622528, 48.83925689960961]}";48.8392568996, 2.37128589262
